tempc,precipmm,humidity,windspeedkmph,visibility,pressure,cloudcover,heatindexC,dewpointC,windchillC,windgustkmph,uvindex,time_new,datetime,icon,desc,temp,templow,baro,wind,wd,hum,year,month,day
28,0.0,74,13,10,1011,20,31,23,28,18,7,17,2018-01-05,7.0,Overcast.,33.0,29.0,1010.0,2.0,320.0,62.0,2018,1,5
27,0.0,78,12,10,1011,19,30,23,27,17,1,18,2018-01-05,17.0,Overcast.,28.0,27.0,1011.0,1.0,140.0,76.0,2018,1,5
27,0.0,78,12,10,1012,24,30,23,27,17,1,19,2018-01-05,17.0,Overcast.,28.0,27.0,1011.0,1.0,140.0,76.0,2018,1,5
27,0.0,79,12,10,1012,29,30,23,27,18,1,20,2018-01-05,17.0,Overcast.,28.0,27.0,1011.0,1.0,140.0,76.0,2018,1,5
26,0.0,80,12,10,1012,34,29,23,26,18,1,21,2018-01-05,17.0,Overcast.,28.0,27.0,1011.0,1.0,140.0,76.0,2018,1,5
26,0.0,80,12,10,1012,33,29,23,26,17,1,22,2018-01-05,17.0,Overcast.,28.0,27.0,1011.0,1.0,140.0,76.0,2018,1,5
26,0.0,81,12,10,1012,32,29,23,26,16,1,23,2018-01-05,17.0,Overcast.,28.0,27.0,1011.0,1.0,140.0,76.0,2018,1,5
26,0.0,81,11,10,1011,31,29,23,26,15,1,0,2018-01-06,14.0,Passing clouds.,27.0,25.0,1010.0,2.0,120.0,80.0,2018,1,6
26,0.0,82,11,10,1011,26,29,23,26,15,1,1,2018-01-06,14.0,Passing clouds.,27.0,25.0,1010.0,2.0,120.0,80.0,2018,1,6
26,0.0,82,12,10,1011,20,29,23,26,16,1,2,2018-01-06,14.0,Passing clouds.,27.0,25.0,1010.0,2.0,120.0,80.0,2018,1,6
26,0.0,82,12,10,1011,15,29,23,26,16,1,3,2018-01-06,14.0,Passing clouds.,27.0,25.0,1010.0,2.0,120.0,80.0,2018,1,6
26,0.0,80,11,10,1012,16,29,23,26,15,1,4,2018-01-06,14.0,Passing clouds.,27.0,25.0,1010.0,2.0,120.0,80.0,2018,1,6
27,0.0,77,11,10,1012,18,29,22,27,13,1,5,2018-01-06,14.0,Passing clouds.,27.0,25.0,1010.0,2.0,120.0,80.0,2018,1,6
27,0.0,75,10,10,1012,20,30,22,27,12,7,6,2018-01-06,7.0,Overcast.,32.0,27.0,1012.0,3.0,140.0,63.0,2018,1,6
28,0.0,71,13,10,1012,19,31,22,28,15,7,7,2018-01-06,7.0,Overcast.,32.0,27.0,1012.0,3.0,140.0,63.0,2018,1,6
29,0.0,67,16,10,1012,17,32,22,29,19,7,8,2018-01-06,7.0,Overcast.,32.0,27.0,1012.0,3.0,140.0,63.0,2018,1,6
